"Custom SKU Config","Konfiguracja Custom SKU"
"Retention days","Okres przechowywania"
"Days after which entries in the custom_sku attribute changelog table will be deleted (0 for disable).","Dni, po upływie których wpisy w tabeli dziennika zmian atrybutu custom_sku zostaną usunięte (0 oznacza wyłączenie)."
